licenseNumber,legalName,licenseType,Address,licenseExpiryDate,zip,phone,email,hours
GAAI-FN4R-SD22,"Delirium Grow, LLC",Grower Indoor,", Big Cabin, Rogers",2025-01-06,74332,(918) 855-9220,deliriumgrow@yahoo.com,N/A
PAAA-F0ET-AVEU,"Delirium Processing, LLC",Processor,", Big Cabin, Rogers",2023-08-11,74332-9603,(918) 855-9220,deliriumprocessing@yahoo.com,
GAAA-NJT1-GVJU,Delta 9 Agrology Ltd Co,Grower,", NORMAN, Cleveland",2024-02-10,73069,(405) 905-9133,joe@d9agro.com,8 - 5 M F
PAAA-BEY4-HIRF,Delta 9 Agrology Ltd Co,Processor,", NORMAN, Cleveland",2024-11-29,73069-8221,4059059133,joe@d9agro.com,8 - 5
GAAI-K7JV-L3VU,Delta 9 Genetics LLC,Grower Indoor,", Arcadia, Oklahoma",2024-08-19,73007,(916) 616-5127,ngo.devan@yahoo.com,N/A
TAAA-AAUN-9AF4,Delta 9 Transport LLC,Transporter,", Arcadia, Oklahoma",2024-08-19,73007,(916) 616-5127,ngo.devan@yahoo.com,N/A
DAAA-BJTZ-MJPZ,Delta Nine Cannabis Corp.,Dispensary,"602 North Grand Avenue, Enid, Garfield",2024-07-21,73701,(580) 395-4000,michael.inslee@gmail.com,Monday - Saturday 10:30AM-10PM
PAAA-WFBP-LT66,Delta Nine Cannabis Corp.,Processor,"602 North Grand Avenue, Enid, Garfield",2023-12-29,73701,(580) 395-4000,info@deltaninedispensary.com,8am-10pm 7 days a week
GAAA-RJ5R-EQIE,"Demboyz1112, LLC",Grower,", Blackwell, Kay",2023-05-20,74631,(248) 884-9254,jfd711@gmail.com,N/A
GAAA-KA8F-GUSB,"Demeter Farms, LLC",Grower,"4120 S POST RD, OKLAHOMA CITY, Oklahoma",2024-05-01,73150-2316,4054892259,demeterfarmsllc@gmail.com,M-S 10a-5p
LAAA-LTKC-8XIM,"Demeter OK Laboratory, LLC",Testing Laboratory,"10001 BROADWAY EXT, OKLAHOMA CITY, Oklahoma",2024-08-17,73114-6307,4056050952,sales@metisqalab.com,M-F 8:00 AM - 5:00 PM
GAAA-1AUC-S9SP,"Dense Farms, LLC",Grower,"9250 COLBY CT, GUTHRIE, Logan",2023-10-20,73044-8326,4059190353,alan@standardusa.com,8:00 AM - 5:00 PM
DAAA-FYZT-KJHA,"Dent Management, LLC",Dispensary,"1032 N PORTER AVE, NORMAN, Cleveland",2024-12-23,73071-6407,4058572729,nickericson@gmail.com,9am-11pm
PAAA-BVG8-EGAA,"Dermatology Research Center of Oklahoma, PLLC",Processor,", Bristow, Creek",2024-01-03,74010,(918) 303-0563,thcdermatology@gmail.com,N/A
GAAA-NGIF-NWGI,Devil Dog Botanicals LLC,Grower,", oklahoma city, Oklahoma",2024-02-01,73114,(405) 249-6522,ericsperales@gmail.com,9-5
GAAA-NJYA-TO82,Devol Bully ranch LLc,Grower,", Devol, Cotton",2023-12-16,73531,(225) 772-5836,tovermiller@gmail.com,as needed
GAAA-QYK5-ILUX,"Diamond Bloomers, LLC",Grower,", STIGLER, Haskell",2024-03-22,74462-2468,(916) 806-9154,diamondbloomers@gmail.com,8am-5pm
GAAA-CK4C-PXXN,Diamond Creek Farms LLC,Grower,", FAIRMONT, Garfield",2023-12-26,73736-1160,5803480638,diamondcreekfarms@att.net,8-5
GAAA-Q0KL-5EHT,"Diamond Dust Farms, LLC",Grower,"701 S Jim Thorpe Blvd, Prague, Lincoln",2024-01-03,74864,(305) 491-4449,mike@organic-scientific.com,
PAAA-3UTL-LRW1,"Diamond Dust Farms, LLC",Processor,"701 S Jim Thorpe Blvd, Prague, Lincoln",2024-01-03,74864,(305) 491-4449,mike@organic-scientific.com,
GAAA-1U4B-DTQB,Diamond Green Rose LLC,Grower,", Rose, Mayes",2024-02-04,74364,(539) 325-2454,diamondgreenrose@gmail.com,8-5
GAAA-C3F7-US7A,Diamond Leaves LLC,Grower,"6773 E 133RD ST S, MUSKOGEE, Muskogee",2023-12-18,74403-3061,(832) 938-7995,tuyethuynh20021@yahoo.com,8am -5pm
GAAA-7ZSA-FV5G,"Diamond Mine Cultivation, LLC",Grower,"7501 PRAIRIE RIDGE LN, CRESCENT, Logan",2023-12-13,73028-8981,(405) 697-1004,diamondmineokc@gmail.com,6PM TO 6AM
GAAA-TUP2-LSSF,"Diamond Rain Garden, LLC",Grower,"19125 County Road NS240, Grandfield, Tillman",2024-05-02,73546,(929) 666-9009,diamondraingarden@gmail.com,M-F 8:00-5:00
GAAA-KOQL-BRR2,"Diamond S Cultivation, LLC",Grower,", STUART, Hughes",2023-11-07,74570-5564,(213) 810-4170,kandafarmsok@gmail.com,9-5
GAAA-YZRI-O4YO,Diamond Trichome LLC,Grower,", OKMULGEE, Okmulgee",2022-09-25,74447,(206) 751-8637,diamondtrichomeusa@gmail.com,24 hrs
DAAA-EKDR-HQ0D,Diamond Ventures Inc.,Dispensary,", TULSA, Tulsa",2025-05-22,74105-5621,2813098908,lasiarshad@gmail.com,10 AM - 10 PM
GAAA-LELY-8QC3,Dicey Farms Inc,Grower,", ada, Pontotoc",2025-07-29,74820,(405) 633-0039,legal@csiservicesok.com,10a-8p
GAAA-VJHI-I3YX,Dicky Doo Farms LLC,Grower,"118 HANGMAN DR, BOKCHITO, Bryan",2023-05-16,74726-5110,(580) 579-7594,timmiller5755@gmail.com,8-5
DAAA-TOUW-ISTG,Diesel Weed LLC,Dispensary,"7811 NW 23RD ST, BETHANY, Oklahoma",2024-01-11,73008-4947,4055788277,zwaller@qualconroofing.com,24 hours
DAAA-N1ET-BJ3D,Dimebag LLC,Dispensary,", TULSA, Tulsa",2024-02-17,74112-2918,(918) 856-5336,stevesoukieh@gmail.com,10:00am to10:00pm monday - saturday
GAAA-FCBR-N17V,"Dimpla Group, LLC",Grower,", ROFF, Pontotoc",2023-05-08,74865-7082,3478795410,pchukanov@yahoo.com,8:00am until 9:00 pm
GAAI-KHPD-TKMT,Directseed Distribution LLC,Grower Indoor,"3501 Wellsite Drive, Suite 115, Norman, Cleveland",2024-09-26,73069,4053610989,directseedok@gmail.com,8:00am - 5:00pm
GAAA-EYYU-KPOO,Dirl D Burruss,Grower,", ELGIN, Comanche",2024-02-23,73538,5807046340,meangreenok@gmail.com,8 AM - 10 PM
GAAA-G8K1-K5RL,Discount Dank LLC,Grower,", Moffett, Sequoyah",2024-04-01,74946,(479) 790-6600,cvtran87@gmail.com,N/A
DAAA-KDO3-YNMP,Discount Dank LLC,Dispensary,"109971 S 4821, Moffett, Sequoyah",2023-04-13,74946,(479) 790-6600,cvtran87@gmail.com,N/A
DAAA-E1DW-FC3J,Dispensaries Unlimited LLC,Dispensary,"103 W Burr Oak Road, Goldsby, McClain",2023-09-15,73072-9222,(405) 308-2448,zcarwilehwc@gmail.com,12pm-8pm Mon-Sat
DAAA-EJ01-NROQ,"Dispensary Holdings, LLC",Dispensary,"3930 W 6TH AVE, STILLWATER, Payne",2024-05-30,74074-1745,(918) 970-4125,rob@oxmmj.com,10am -9pm
DAAA-W0OP-BN5S,"Dispensary Holdings, LLC",Dispensary,", MUSKOGEE, Muskogee",2024-01-09,74403-1809,5807436030,rob@oxmmj.com,10 AM - 11 PM
DAAA-UAGX-HGXQ,"Dispensary Holdings, LLC",Dispensary,", MUSKOGEE, Muskogee",2023-12-27,74401-2263,5807436030,rob@oxmmj.com,11 AM - 11 PM
DAAA-DFAW-ZXBT,"Dispensary Holdings, LLC",Dispensary,", CLAREMORE, Rogers",2023-11-08,74017-6351,5807436030,rob@oxmmj.com,11:00AM-11:00PM
DAAA-7VED-HHRA,"Dispensary Near Me, LLC",Dispensary,"9551 e waterloo rd num 1/2, arcadia, Logan",2024-01-25,73008,(405) 763-9433,ocd.mmj@gmail.com,N/A
PAAA-C0MR-MFJV,Distilled in Oklahoma LLC,Processor,"1874 W. Simpson Rd., Edmond, Logan",2024-02-23,73034,(405) 512-1105,debbiejones57@gmail.com,7:00am to 4:00pm
GAAA-IQTQ-XAR3,Distinguished Farms LLC,Grower,", Carney, Lincoln",2023-08-17,74832,(405) 738-3196,tovermiller@gmail.com,N/A
PAAA-RX0W-7B5J,Distinguished Farms LLC,Processor,", Carney, Lincoln",2025-05-06,74832,(405) 738-3196,growersessentials@gmail.com,N/A
GAAI-9ADD-WTE6,Divine Ventures Corp,Grower Indoor,", DEL CITY, Oklahoma",2025-02-13,73115-1001,4054939308,divine.ventures405@gmail.com,12pm -4pm
DAAA-RF3O-Q9VN,Divine Ventures Corp,Dispensary,", EDMOND, Oklahoma",2023-11-27,73003-5600,(405) 906-4179,fabulouscannabis@gmail.com,10AM-7PM M-TH 10AM-8PM FRI & SAT CLOSED SUN
GAAA-DFUX-EE4E,Dixie Sweets Co.,Grower,", Keota, Haskell",2023-12-25,74941,(918) 617-0240,prattj9292@gmail.com,none
DAAA-ZYTW-AV8R,"DnA Cannabis Solutions, LLC",Dispensary,"202 N OSAGE AVE, DEWEY, Washington",2024-03-02,74029-2448,(918) 534-8341,dnacannabissolutions@gmail.com,9am to 11pm
GAAA-ACGT-U3MM,"Doc Bender Enterprises, LTD",Grower,", NOBLE, Cleveland",2023-09-20,73068-6236,(405) 407-7004,charlesbendercch@gmail.com,9 am to 2 pm
PAAA-DCWR-WE5N,"Doc Bender Enterprises, LTD",Processor,", Hugo, Choctaw",2024-10-18,74743,(405) 407-7004,charlesbendercch@gmail.com,9 am to 2 pm
PAAA-AMOS-XQIL,"Doc Ferguson, LLC",Processor,", TECUMSEH, Pottawatomie",2024-11-15,74873,4055980101,mwhitman@docfergusonok.com,"9AM - 5PM, BY APPT ONLY"
DAAA-VY5U-AWKO,Doc Greens LLC,Dispensary,", Stillwater, Payne",2024-02-09,74074,9703798382,info@docgreensmmj.com,9:00 10:00
DAAA-J44P-PRKD,Doc Holidaze Dispensary LLC,Dispensary,", Gracemont, Caddo",2023-11-22,73042,(405) 808-1985,smglaurens@gmail.com,N/A
PAAA-BAVR-RO3M,Doc Holidaze Extracts LLC,Processor,", Gracemont, Caddo",2023-09-16,73042,(405) 808-1985,smglaurens@gmail.com,N/A
DAAA-TBEB-ZF2Y,Doc's Craft Cannabis LLC,Dispensary,"128 NE WASHINGTON BLVD, BARTLESVILLE, Washington",2024-12-20,74006-1634,(918) 876-0398,the.trich.home@gmail.com,Every Day 9AM - 9PM
DAAA-JMVX-H451,Doctor Green Bixby LLC,Dispensary,"14657 S MEMORIAL DR, BIXBY, Tulsa",2025-02-07,74008-3741,9186388885,globalcarsale@yahoo.com,10am-10pm
DAAA-VC1C-MFBV,Doctor Releaf Ponca City LLC,Dispensary,", PONCA CITY, Kay",2024-07-25,74601-6326,(580) 304-2755,cashsean710@gmail.com,10-8
GAAI-IJHF-8B2O,"Doctor's Choice, LLC",Grower Indoor,"4515 Nw 10th St, Oklahoma City, Oklahoma",2024-08-22,73127,(239) 641-0083,doctorschoiceokc@hotmail.com,9am - 2pm
PAAA-MKV5-MBBW,Doja Drips LLC,Processor,"1281 S 1st st, Westville, Adair",2024-09-12,74965,(479) 200-2364,dojadrips@gmail.com,N/A
GAAI-4KDP-CJA4,Doja Management LLC,Grower Indoor,"8421 S I 35 SERVICE RD, OKLAHOMA CITY, Oklahoma",2025-02-03,73149-3038,4056250745,dojacanna@gmail.com,9am- 9pm
GAAA-ZGQG-OMMN,Dolofire LLC,Grower,"57893 S 36500 RD, TERLTON, Pawnee",2024-03-07,74081-3554,(305) 613-8223,dolofire1@gmail.com,9am to 5pm
PAAA-KT7I-76GP,Donnybrook Chem LLC,Processor,"5933 NW 5TH ST, OKLAHOMA CITY, Oklahoma",2024-02-24,73127-5649,(405) 388-6508,sunset@holidayoklahoma.com,8am to 4pm Monday thru Friday
PAAA-NJ90-C5II,Doob Creek Farms LLC,Processor,"119 S ELM ST, NOWATA, Nowata",2024-04-06,74048-3503,(970) 270-4447,doobcreekfarms@gmail.com,M-F 9-5
GAAA-EYMG-LI5U,Doob Creek Farms LLC,Grower,"119 S ELM ST, NOWATA, Nowata",2024-04-06,74048-3503,(970) 270-4447,doobcreekfarms@gmail.com,9-5 M-F
GAAA-6GN2-4O32,"Doobi Cultivation 4, LLC",Grower,", Ripley, Payne",2023-09-14,74062,(405) 420-6530,ripley6215e@yahoo.com,N/A
GAAA-QRGW-CCIL,"Doobi Cultivation 4, LLC",Grower,", Ripley, Payne",2023-09-14,74062,(405) 420-6530,ripley6313e@yahoo.com,N/A
DAAA-S3KD-58JF,"Doobi Distribution, LLC",Dispensary,", Newcastle, McClain",2024-09-28,73065,(405) 255-7334,kristinceder@yahoo.com,N/A
GAAA-WQH0-1NSS,Doobie Bros Farms LLC,Grower,"2412 S NICKLAS AVE, OKLAHOMA CITY, Oklahoma",2023-07-27,73128-3029,4054363597,eb@doobiebrosfarms.com,9-5
DAAA-N1U6-YYGM,Doobie J's Dispensary LLC,Dispensary,"101 WOODBRIAR RD, NOBLE, Cleveland",2023-04-10,73068-8325,4058209366,cobra1450@sbcglobal.net,10:00AM - 7:00PM
GAAA-NYYU-Q05L,Doobie Queens LLC,Grower,", ANTLERS, Pushmataha",2024-02-14,74523-7425,5807139445,joybelle84@yahoo.com,N/A
PAAA-VYWQ-N294,Dose Extracts LLC,Processor,", Oklahoma City, Oklahoma",2025-01-13,73116,4042720800,dep77@live.com,9:00am - 5:00pm
GAAA-NKTE-O1UF,Dose LLC,Grower,", BLANCHARD, McClain",2023-12-15,73010-7561,(405) 766-1077,tinahe@oklaboba.com,9:00am-5:00pm when operating
PAAA-W1FQ-RRAV,"Double ""D"" Dragon Enterprises, Inc",Processor,", Harrah, Oklahoma",2024-10-24,73045,4055245155,andrew@andrewpmurphy.com,3:00 p.m. to 6:00 p.m.
GAAI-VKCF-UC7V,"Double ""D"" Dragon Enterprises, Inc.",Grower Indoor,", Harrah, Oklahoma",2024-08-23,73045,(405) 524-5155,andrew@andrewpmurphy.com,1:30 p.m. to 5:00 p.m.
GAAI-2CZH-9SAS,"Double Barrel Budz, LLC",Grower Indoor,"1101 W Waterloo Rd, Edmond, Oklahoma",2024-10-09,73025,(405) 490-0048,christophertortora90@gmail.com,M-F 9-5 or as needed for company operations
GAAI-SGAD-R88Q,Double Diamond G Farm LLC,Grower Indoor,"2384 COUNTY ROAD 1340, BLANCHARD, Grady",2024-10-09,73010-3654,4054011592,rgruv1@pldi.net,8:00 am to 10:00pm
PAAA-H6UZ-KWWO,Dover Brothers Incorporated,Processor,"275 NE 31ST ST, Newcastle, McClain",2023-11-09,73065,4052107995,christie.doverbrothers@yahoo.com,8am-1pm
DAAA-A2BB-XQ5Y,Down South Management LLC,Dispensary,"8590 Enterprise Ave., Noble, Cleveland",2024-01-06,73068,(713) 538-6431,thimilangu@gmail.com,N/A
DAAA-VJIY-MUA7,"Dr Express Enterprises, LLC",Dispensary,", DAVIS, Murray",2024-04-14,73030-2526,(580) 247-9153,bpdispodavis@gmail.com,
DAAA-4DXF-27L6,Dr. Dank Cannabis LLC,Dispensary,", Seminole, Seminole",2025-09-24,74868,(480) 258-4113,elitecannabisllc@gmail.com,10:00 a.m. to 7:00 p.m. Monday through Friday; 9:00 a.m. to 8:00 p.m. Saturday
DAAA-BPES-EW3S,Dr. Dave Inc.,Dispensary,"1150 E CEDAR LANE RD, NORMAN, Cleveland",2023-10-23,73072-8107,4052083493,nextelevation2@gmail.com,10am - 12am
PAAA-CCWN-HOBX,Dr. Gonzo's Cannabis Company LLC,Processor,", BLACKWELL, Kay",2022-12-08,74631-2111,(214) 500-2499,louise@planetnug.com,M-F 8AM-5PM
GAAA-CYRG-PFCW,Dracaena Sanderiana LLC,Grower,", LUTHER, Logan",2023-10-16,73054-9521,4057353800,siyan@stacylegalgroup.com,24
TAAA-9ZCN-V5WG,Dracos Security LLC,Transporter,"807 SW 119TH ST, OKLAHOMA CITY, Cleveland",2023-09-26,73170-6005,4053532422,info@dracossecurity.biz,12am-12am
DAAA-WWS1-WW1N,Dragon Lily Dispensary LLC,Dispensary,"8054 S YALE AVE, TULSA, Tulsa",2024-05-18,74136,2816086800,robb75067@gmail.com,10am-12am
GAAA-ZRS0-DOHF,Dragon Tree LLC,Grower,", CANUTE, Washita",2023-05-16,73626-3617,(405) 261-9366,corp@commcann.co,9:00-5:00
GAAA-VJS3-2RGU,"Dream Garden, LLC",Grower,"11960 N. 2280, Cordell, Washita",2024-04-26,73632,(646) 202-6638,dreamgarden1002@gmail.com,8-5
GAAI-7SYQ-XCLL,"Dream Sky, LLC",Grower Indoor,"1325 County Street 2840, Pocasset, Grady",2024-09-02,73079,(539) 345-2306,dreamsky.llc@gmail.com,9-5pm
GAAA-NYKR-GII8,"Dreamleaf Farms, LLC",Grower,"7401 120TH ST, NOBLE, Cleveland",2024-05-26,73068-7713,4054760103,sales.dlfarms@gmail.com,6am-4pm
GAAA-ZRLN-P1GM,Dreamline Cannabis LLC,Grower,", Salisaw, Sequoyah",2023-10-06,74955,9037184737,luism7360@gmail.com,9:00am to 5:00pm
GAAI-JKGC-MQQE,"Drip Cultivation, LLC",Grower Indoor,"4207 Anderson Road, Woodward, Woodward",2024-10-16,73801-6224,(580) 216-0691,sarah@thedripcult.com,8:00 AM - 5:00 PM
GAAA-BVJ0-C382,Drywall Installations,Grower,"2470 Nw Expressway, Okarche, Canadian",2024-01-31,73762,(405) 410-9788,gginsureme@gmail.com,9-3
GAAA-QGNS-LXKX,Duan Dau Dream Farm LLC,Grower,"412 EDWARDS LN, INDIANOLA, Pittsburg",2024-05-05,74442-5107,(704) 402-7401,streetzonesllc@gmail.com,9am -5pm
DAAA-V16J-CHBM,Dubway Dispensary LLC,Dispensary,"210 N HOKE ST, STILLWATER, Payne",2024-11-14,74075-7705,4053324121,heidbrandy442@gmail.com,Monday-Thursday 9am-9pm Friday-saturday 9am-10pm Sunday- Closed
GAAA-HJGR-7M9T,"Duke Craft Farms, LLC",Grower,"2130 N ROBERTA RD, DURANT, Bryan",2022-10-17,74701-0186,8173120713,dukecraftfarms@yahoo.com,Sunday - Saturday 9:00 a.m.-4:30 p.m.
GAAA-4KEW-YN0Z,"Dukes Farm, LLC",Grower,", CLAREMORE, Rogers",2024-04-10,74019-2880,4058089300,colemcbride@sbcglobal.net,"Sunday-Saturday, 8:00-20:00"
GAAA-EN75-WNCG,Duley Family Farm LLC,Grower,"2300 SOUTH 660 ROAD, QUAPAW, Ottawa",2024-01-30,74363,(417) 437-7945,copperheadholler@gmail.com,24/7
GAAA-BXXX-9B2B,Duncan Ranch Grow LLC,Grower,", Duncan, Stephens",2023-08-22,73533,(405) 438-7086,duncanmedicalfarmllc@gmail.com,10AM -5PM
GAAA-VK3O-AHDO,Dunder Mifflin LLC,Grower,", Washington, McClain",2024-02-01,73093-6043,7194332156,shaneshriver@yahoo.com,24 hours
PAAA-EKGN-46DI,Dunder Mifflin LLC,Processor,", Washington, McClain",2023-09-22,73093-6043,7194332156,shaneshriver@yahoo.com,24 hours
GAAA-V1GW-GT1P,Dustin Angello,Grower,"3018 MEADOW RD, BOKCHITO, Bryan",2024-10-13,74726-5101,5807754364,dustina4364@gmail.com,10:00 AM - 6:00 PM
PAAA-LTH8-IJZ1,Dustin Angello,Processor,"3018 MEADOW RD, BOKCHITO, Bryan",2024-10-15,74726-5101,5807754364,dustina4364@gmail.com,10 am-8 pm
GAAA-HKGN-KOBN,Dymond Brothers Enterprises LLC,Grower,"160 JACK TERRY ST, EDMOND, Logan",2024-03-23,73025-2580,(405) 229-8384,tdymond429@gmail.com,6:00 pm - 3:00 am
DAAA-WUMP-RKUP,Dymond Dispensary LLC,Dispensary,"251 E Waterloo Rd. Ste. 3, Edmond, Logan",2023-11-29,73034,(405) 906-2135,thefarmacyonwaterloo@gmail.com,24 hours - 7 days a week
PAAA-X8AV-1BRO,Dymond Dispensary LLC,Processor,"251 E Waterloo Rd Ste. 3, Edmond, Logan",2023-11-29,73034,(405) 906-2135,thefarmacyonwaterloo@gmail.com,24 hours a day - as desired
GAAA-OZ8F-EUAW,"Dynamic Herbs, LLC",Grower,"4000 S CZECH HALL RD, YUKON, Canadian",2023-11-22,73099-7225,(405) 779-7490,office@dynamicherbs.net,10:00am - 4:00pm
DAAA-4KDR-CACP,"Dynamo Dispensary, LLC",Dispensary,", Oklahoma City, Oklahoma",2025-03-24,73103,(406) 672-8110,mrhart3@gmail.com,
PAAA-BO40-CS4P,Dynamo Distribution CO L.L.C.,Processor,", OKLAHOMA CITY, Oklahoma",2025-01-09,73105-2705,(405) 226-9898,conner@dynamodistro.com,10-5
DAAA-60NK-5UY6,E CONSTITUTION DISPENSARY LLC,Dispensary,", NORMAN, Cleveland",2024-05-04,73072-7814,(405) 857-2319,pj@gethighguys.com,10am-10pm
DAAA-XFS7-O093,E Root Lam LLC,Dispensary,"1120 South Air Depot Boulevard Suite 10, Midwest City, Oklahoma",2025-02-23,73110,(916) 616-5127,delta9genetics@gmail.com,24
GAAA-TJTP-MIAY,E and B Farms LLC,Grower,"11254 n 1960 cir, Elk city, Beckham",2023-10-27,73644,2095593067,eandbfarmsllc@gmail.com,12-5pm
GAAO-5T0N-1MEQ,E-Lab LLC,Grower Outdoor,", ELMORE CITY, Garvin",2024-10-05,73433-8690,4059198519,e.lab.farm@gmail.com,9:00-5:00
PAAA-KYO9-P7EU,E-Lab LLC,Processor,", ELMORE CITY, Garvin",2024-02-08,73433-8690,4059198519,e.lab.farm@gmail.com,M-F 9-5
GAAA-ZMVV-FHFT,E.S.D Farm LLC,Grower,"22544 PINK LN, TECUMSEH, Pottawatomie",2022-10-16,74873-6455,4053143303,luperciolawns@gmail.com,8 Am -6 Pm
GAAA-EJG9-ZM9S,EA Grow LLC,Grower,", NEWCASTLE, McClain",2023-11-29,73065-6164,4059212138,eagrow@yahoo.com,11am-3pm
DAAA-I1JK-AJFD,EFFUSION-HALL OF FLOWERS C-CORPORATION,Dispensary,"6030 S PEORIA AVE, TULSA, Tulsa",2025-07-05,74105-8346,2147845528,elton.ferns78@gmail.com,9:00AM-5:00PM
DAAA-NY37-IDFC,ELEVATE RX LLC,Dispensary,"3010 W UNIVERSITY BLVD, DURANT, Bryan",2023-09-26,74701-2993,4699698616,elevaterx@gmail.com,10AM-10PM
DAAA-PYII-8WAB,ELLISON COMPANY,Dispensary,"2751 NW EXPRESSWAY, OKLAHOMA CITY, Oklahoma",2024-10-02,73112-7084,4052103007,greenleafsupplyokc@gmail.com,10-8
PAAA-RMBB-ENHA,"ELM CREEK FARM, LLC",Processor,", MIAMI, Ottawa",2023-09-15,74354-4592,(417) 483-2325,p.d.patterson@elmcreekfarm.com,M-F 9-5 or as needed for company operations
GAAA-CECF-BTPV,"ELM CREEK FARM, LLC",Grower,", MIAMI, Ottawa",2023-07-25,74354,(417) 483-2325,p.d.patterson@elmcreekfarm.com,M-F 9-5 or as needed for company operations
PAAA-6QN9-CM8L,"ELMORE FOSTER PROCESSING, INC",Processor,", ELMORE CITY, Garvin",2023-09-19,73433,(929) 362-8589,elmorefosterprocessing@gmail.com,N/A
TAAA-Z6MB-QHCR,"ELMORE FOSTER TRANSPORTATION, INC",Transporter,", ELMORE CITY, Garvin",2023-09-19,73433,(929) 362-8589,elmorefostertransportation@gmail.com,N/A
GAAA-YJZ4-5OGN,"EMERALD CASTLE, LLC",Grower,"13909 E 580 RD, ROSE, Mayes",2024-08-28,74364-1539,7633131268,emeraldcastlellc@gmail.com,8-4
GAAI-YKXM-QAXK,EMERALD PLAINS FARMS LLC,Grower Indoor,"2012 SW 15TH STREET, OKLAHOMA CITY, Oklahoma",2024-12-12,73108,(405) 845-0576,highhorseok@gmail.com,8am-5pm
PAAA-33A4-1G9U,EMPIRE MANAGEMENT GROUP LLC,Processor,", Tulsa, Tulsa",2024-02-21,74115,(918) 550-2492,nickwhitaker0420@gmail.com,9 AM - 5PM
GAAA-5DJZ-TCTZ,ENDLESS GROW LLC,Grower,"3810 South Elwood Avenue, Tulsa, Tulsa",2023-08-22,74107,(918) 786-0200,travis@naturallyendless.com,8-5
PAAA-XQCJ-B3AP,ENDLESS PROCESSING LLC,Processor,"317 S Martin Avenue, Wanette, Pottawatomie",2023-11-16,74878,(918) 786-0200,travis@endlessclones.com,8-5
GAAA-GBS6-57TM,"EPIC PHARMS, LLC",Grower,", CHICKASHA, Grady",2023-10-13,73018,(713) 878-8516,r_a_gonzalez@yahoo.com,M-F 9-5 or as needed for company operations
GAAA-OHTT-JJZV,"EPIC PHARMS, LLC",Grower,", CHICKASHA, Grady",2023-10-11,73018-2427,(713) 878-8516,r_a_gonzalez@yahoo.com,M-F 9-5 or as needed for company operations
PAAA-PTP0-CL7U,EQUINOXX LLC,Processor,", TULSA, Tulsa",2024-09-13,74120,(918) 619-6272,samd@summgen.com,9-5
GAAA-LTOD-NUVO,ERB Farms LLC,Grower,"102 E. 32nd Avenue, Stillwater, Payne",2024-04-10,74074,5802549681,erbfarmsoklahoma@gmail.com,11:00 am-4:00 pm
DAAA-41YR-TLGG,"ERBA, LLC",Dispensary,"6519 E 46TH ST, TULSA, Tulsa",2024-10-31,74145-5812,(539) 867-3909,erbameds@gmail.com,10AM-7PM
DAAA-EJKA-KO9V,ERKS LLC,Dispensary,", Edmond, Oklahoma",2023-11-07,73013,(405) 512-3000,thecannabisrefinery@gmail.com,24 hours
DAAA-CJ1F-KDPV,"ESCC Inc., LLC",Dispensary,"8333 South Shields Boulevard, Oklahoma City, Oklahoma",2023-11-29,73149,(405) 394-3848,everyseedcannaco@hotmail.com,by appointment
GAAA-HUUF-8ZBT,ESSENTIAL PLANTING LLC,Grower,"19768 W US HIGHWAY 270, STUART, Pittsburg",2023-10-25,74570-5042,(347) 973-6626,essentialoperatinginc@gmail.com,9-5
GAAA-D5YP-XRCR,ETHEREAL GREEN LLC,Grower,", CUSHING, Payne",2023-12-11,74023-5812,6263495834,etherealgrow@yahoo.com,7am - 7pm
GAAA-U4FB-HZWJ,"EVAN DIAMOND GARDEN, LLC",Grower,", LEXINGTON, Cleveland",2023-08-18,73051,(470) 429-1955,evandiamondgarden420@gmail.com,N/A
GAAA-BWRL-EVKZ,EVERGREEN CHENG 88 LLC,Grower,", BLANCHARD, McClain",2023-11-06,73010,6462986117,gao88.management@gmail.com,
GAAI-DKKF-RA4P,"EVERGREEN EVOLUTION (OK), LLC",Grower Indoor,"1520 W Main St, Tishomingo, Johnston",2024-08-03,73460,4695628720,danderton@cncllc.org,9 AM TO 5 PM
PAAA-NK5X-VCOU,"EVERGREEN EVOLUTION OK, LLC",Processor,"1520 W MAIN ST, TISHOMINGO, Johnston",2022-12-16,73460-4726,4695628720,danderton@cncllc.org,8 A.M. TO 5 P.M.
DAAA-IQJW-SC3Z,EVERMORE CANNABIS DISPENSARY LLC,Dispensary,"814 S WOOD DR, OKMULGEE, Okmulgee",2023-11-10,74447-6016,(918) 777-2026,evermoreboyz@gmail.com,9:30AM-9:30PM
GAAI-NKIZ-WYPA,EVERY GREEN LLC,Grower Indoor,"15280 S MEMORIAL DR, BIXBY, Tulsa",2024-09-29,74008,9189063168,eastchinaliyu@yahoo.com,9AM TO 5PM
GAAI-G3Q0-RNEQ,EVERYDAY FARMERS INC,Grower Indoor,"49502 RIVER RD, EARLSBORO, Pottawatomie",2024-07-26,74840,(405) 777-3383,everydayfarmersinc@outlook.com,09:00am-05:00pm
DAAA-V1SF-6F7D,"EVERYTHING GREEN RX, LLC",Dispensary,"300 NW Main Street, Minco, Grady",2023-11-02,73059,4053523070,cookseybac8@aol.com,"11 a.m. to 7 p.m. Monday - Saturday , 1 p.m. - 5 p.m. Sunday"
PAAA-T4JU-NRQ2,EXOTIC CANNABIS LLC,Processor,", HOMINY, Osage",2023-11-16,74035,(310) 279-9521,alansoleyman@yahoo.com,N/A
