FirstName,LastName,Company,Title,Socials,Website,Biography
H.E. Hussain,Mohammed Al Mahmoudi,"Sharjah Research, Technology and Innovation Park (SRTIP)",CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/hussain-al-mahmoudi'}",{},"H.E. Hussain serves a dual role as the Chief Executive Officer (CEO) of the American University of Sharjah Enterprises (AUSE) and as the CEO of the Sharjah Research, Technology and Innovation Park (SRTIP). Both these entities were established through royal decree by the Ruler of Sharjah, who also directly appointed H.E. Hussain to these responsibilities in order to create collaborative long-term relationships between industry, academia and the public sector, fostering an ecosystem of enterprise and innovation.     Previously, H.E. Hussain served as the Director General of the Sharjah Chamber of Commerce and Industry, a Member of the UAE Chamber Federation, and GCC Chambers for 8 years. He was responsible for the overall management and operations of the Chamber including the provision of services to its members. In this role, he launched several strategic economic initiatives for Sharjah such as the SME Act, Sharjah Export Centre, Sharjah Commercial Arbitration Centre, and the Sharjah Business Forum.    H.E. Hussain has held leadership roles at leading regional and international companies such as the Royal Dutch Shell Group, Emirates National Oil Company (ENOC), and several Dubai Holding entities. He currently serves as honorary board member of both, the Tatweer Forum and of Maastricht University in the Netherlands, and as chairman of the Emirates Business Council for Sustainable Development. He also serves as a board member of the Sharjah Entrepreneurship Center (Sheraa).    H.E. Hussain possesses an MBA from the American University of Sharjah and a BA in Economics and Communications from Seattle Pacific University in the US."
Dr. Jörg,Goschin,KfW Capital,"Co-CEO, Senior Managing Director","{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/j%C3%B6rg-goschin-06329661'}",{},"As founder and experienced investment professional, Jörg has in-depth market knowledge and a close-knit network in the venture capital community. Previous stations of his career include Metzler, The Boston Consulting Group, BNP Paribas, Cerberus, Blackstone and Alstin. Jörg holds a PhD in finance and diploma in electrical engeneering and economics. Together with Alexander Thees, he set-up and manages KfW Capital as Co-CEO."
Karl,Tlais,iAdvisory,"Strategic Advisor, Founder","{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/karltlais/'}",{},"Karl is a strategic business leader with over 20 years’ experience building market presence and driving revenue growth across Asia Pacific, Europe, Middle East, and Africa.Recognized as an industry transformational leader across the Digital Economy, Fintech, Innovation, Partnership, Venture and Investment space; Karl has developed global and regional ecosystem partnerships across a broad spectrum of industries in the government, enterprise, and start-up sector.Karl is the Founder of iAdvisory and a Strategic Advisor, board member of several organizations across the globe pioneering the Digital Economy. He is Co-Chair of the Business Innovators committee at the Capital Club Dubai, and leads the Digital Economy, AI and Fintech initiatives.On the corporate front, Karl has held key executive leadership roles with several industry leaders. These include establishing and leading the Visa Strategic Partnerships, Fintech, and Ventures group for Central Europe, Middle East, and Africa. Prior to Visa, he led the Microsoft Enterprise Partnership team, where he led their global strategic alliances and go-to-market across MEA; and headed Cisco’s Service Provider Cloud and Managed Services business development across the Emerging Markets and Asia Pacific region.His background includes over a decade covering the ANZ and Asia Pacific markets in various senior roles with SingTel Optus, Vodafone and Solution6.Karl holds a Master’s in Engineering Management and Telecommunications Engineering degree, from the University of Technology Sydney."
Raihan,Shaikh-Khaleel,Swinton Advisors,Founder,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/rsk001/'}",{},"Raihan is a Managing Director at Swinton Advisors based both in London and Dubai.  He acts as an advisor to PE investors, Hedge funds and family offices, in relation to their distressed debt and special sits in the EMEA region, and in addition takes on active board, restructuring committee and co-com; CRO type appointments. Prior to Swinton, Raihan was formerly a restructuring lawyer at Shearman and Sterling and then for nearly 10 years at hedge fund, King Street Capital.  Raihan has almost two decades of experience working with financial distressed companies, with a particular focus on complex financial litigation and cross border landmark insolvencies especially  ( advising Abraaj , Ahab/TIBC, Smile Telecoms, Lehman and NMC).Currently, in the region,  Raihan is the chair of the restructuring committee at NMC Healthcare and is a special advisor to Davidson Kempner on the JBF Rak restructuring . In addition, he serves as a non-executive director on the board of various distressed companies for both Saudi and US PE investors."
Olga,Feldmeier,Smart Valor AG,Chairman,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/olga-feldmeier/'}",{},"Olga Feldmeier is a pioneering entrepreneur and thought leader driving innovation, cooperation and regulation at the cutting edge of Web3. Olga is the co-founder and board chair of SMART VALOR, the first Nasdaq listed exchange in Europe, which was also named one of the 10 most exciting start-ups in Europe by Forbes.Olga kickstarted her career at the prestigious Boston Consulting Group and over the course of the next decade went on to work for both Barclays and UBS in executive roles. After this, Olga fell down the crypto rabbit hole and became a managing partner at Xapo, where she was instrumental in helping the firm gain the first bitcoin custodian licence in Switzerland, for which Forbes christened her Switzerland’s Crypto Queen. Olga founded SMART VALOR in 2017 and was a driving force in the creation of Switzerland’s Crypto Valley.Olga is a sought-after public figure and has twice been included in the Top 100 Digital Shapers by Bilanz magazine, as well as earning a place in the Top 10 Blockchainers and Top 100 Women in Business by UBS. She has spoken at over 200 conferences in Asia, the US and Europe and regularly appears on both Swiss and international television.Olga is a central pillar of the Swiss cryptocurrency community and is the organiser of the largest international blockchain conference in the country, Crypto Summit, which takes place yearly in Zurich.In 2022, Olga Feldmeier, who grew up in Ukraine, launched “Tech for Peace”. The initiative is dedicated to using technology to help Ukraine build peace. She has co-organised several important events, including one of the largest anti-war demonstrations in Zurich and the House of Ukraine during the World Economic Forum in Davos."
CK,Zheng,ZX Squared Capital,CIO & Co-Founder,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/ck-zheng-56125512/'}",{},"Dr. CK Zheng is a Co-Founder and CIO of ZX Squared Capital, a crypto option hedge fund since July 2021. Dr. Zheng has over 30 years of experiences on Wall Street and holds a Ph.D. in Finance from University of Chicago, with a specialization in derivatives pricing and risk management. Before founding ZX Squared, Dr. Zheng was previously Managing Director and Global Head of Risk and Valuation at Credit Suisse for over 17 years after a 5-year career at Morgan Stanley as Executive Director. Before that, he actively traded options at Bank of America and Susquhanna Investment Group. Dr. Zheng’s market insights were widely featured on main media such as CNBC, Forbes, CoinDesk, The Block, Blockworks and others."
Esty,Dwek,FlowBank,Chief Investment Officer,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/esty-dwek-88855b27/'}",{},"As a member of the Executive Committee and FlowBank's Chief Investment Officer (CIO), Esty is responsible for the investment strategy of the bank. She also heads the Market Research department and plays a key role in developing the bank's educational offerings, among other things.Esty Dwek has over 16 years of experience in finance. Most recently she was the head of market strategy for Natixis IM Solutions. Prior to Natixis, Esty was a global strategist with the emerging markets team at Loomis, Sayles & Company and an Investment Strategist for HSBC Private Bank, where she worked in Geneva, London, New York and Singapore."
Dr. Mohamed,El-Erian,"President of Queens College, Cambridge","Chief Economic Advisor, Allianz","{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/mohamedelerian'}",{},"Mohamed A. El-Erian is the President of Queens’ College, the University of Cambridge. Since 2014, he has served as Chief Economic Advisor at Allianz, the corporate parent of PIMCO where he formerly served as chief executive and co-chief investment officer. He is Chair of Gramercy Fund Management, a columnist for Bloomberg View, and a contributing editor at the Financial Times, He serves on two corporate boards and several advisory committees and non-profit boards.Dr. El-Erian first joined PIMCO in 1999 and was a senior member of PIMCO’s portfolio management and investment strategy group. He rejoined the company at the end of 2007 after serving for two years as president and CEO of Harvard Management Company, the entity that manages Harvard’s endowment and related accounts. Before coming to PIMCO, Dr. El-Erian was a managing director at Solomon Smith Barney/Citigroup in London and before that, he spent 15 years at the International Monetary Fund in Washington, D.C. where he served as Deputy Director before moving to the private sector.Dr. El-Erian served as Chair of President Obama’s Global Development Council from December 2012 to January 2017. He has published widely on international economic and finance topics. His 2008 book, When Markets Collide, was a New York Times and Wall Street Journal bestseller, won the Financial Times/Goldman Sachs Business Book of the Year, was named a book of the year by The Economist, and one of the best business books of all time by the Independent (UK). He was named to Foreign Policy’s list of “Top 100 Global Thinkers” for four years in a row. Since 2014, he has been serving on the jury for the Financial Times/McKenzie Book of the Year award. His latest book, published in January 2016, The Only Game in Town: Central Banks, Instability and Avoiding the Next Collapse, is a New York Times bestseller.Dr. El-Erian has served on several boards and committees, including the U.S. Treasury Borrowing Advisory Committee, the International Center for Research on Women, the Peterson Institute for International Economics, the Carnegie Endowment for International Peace, the IMF’s Committee of Eminent Persons and the New York Fed’ Investor Advisory Committee on Financial Markets. He is currently a board member of Barclays, Under Armour, the NBER (Executive Committee), Berggruen Institute (Executive Committee), and several educational institutions. In 2018, he was just appointed to the IMF’s External Advisory Group on Surveillance and MIT’s"
Aydin,Kilic,HIVE Blockchain Technologies,President & CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Mr. Kilic has over 20 years' experience as an entrepreneur and electronic engineer with expertise in cryptocurrency, capital markets, real estate development and scientific research. He founded Fortress Blockchain Corp. in 2017 and led this company as CEO to go public as a Tier 1 Technology Issuer on the TSX-V, raising $30M in the process.With this experience Mr. Kilic brings the HIVE team his comprehensive understanding of the intersect of cryptocurrency and the Canadian capital markets, public company audit demands and exchange rules, along with the importance of ESG investing. Additionally, as a development executive, Mr. Kilic has received commitments from Canadian banks for over $100M in financing for land rezoning and development projects and has secured over $200M of land acquisition offers, while bringing over $100M of project value to market in BC. Mr. Kilic will lead HIVE in its global expansion and development of data centers, reporting directly to Frank Holmes, Executive Chairman.Mr. Kilic holds a degree in Engineering Science (Honours) from Simon Fraser University, having specialized in high-frequency electronics, VLSI, and time-variant 3D electromagnetics"
Colm,Lanigan,BlackRock,CIO of Direct Private Equity and Head of LTPC Americas,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/colm-lanigan-640a3b7/'}",{},"Colm Lanigan, Managing Director, is the Chief Investment Officer of Direct Private Equity and Head of BlackRock Long Term Private Capital Americas, based in New York. Colm brings over 25 years of private equity investment and leveraged finance experience. Colm was most recently Head of Private Equities, Americas, at the Abu Dhabi Investment Authority, one of the world's largest sovereign wealth funds. In this role, he oversaw all direct investing and fund partnerships in Private Equity, Credit and Venture Capital investing in the Americas. He joined ADIA in 2012 as the Head of Principal Investments with a mandate to develop the strategy, oversee the buildout of a global team, and lead the execution and management of principal investments in the private equities department. Colm previously founded Tara Capital and purchased Tara Technologies as a platform entity. He served as the Chief Executive Officer at Tara Technologies Corporation from February 2006 to July 2011, transforming a US based manufacturer into a supplier of engineered components and systems to global OEMs in the semiconductor, aerospace, and oil and gas sectors. Prior to Tara, Colm was a Managing Director at Caxton-Iseman Capital Associates, a $2B private equity fund, where he helped to expand its principal investment business, and as a Vice President in leveraged finance at Credit Suisse where he advised companies and sponsors on capital raising and strategic alternatives. Colm received his LLB and JD from the University of Toronto and a BSc in Molecular Biology from the University of Toronto."
John,D'Agostino,Coinbase,Senior Advisor: Strategy & Partnerships,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/johnjdagostino1/'}",{},"John D’Agostino is Senior Advisor to Coinbase Institutional and serves on the board of directors of several of the world’s largest digital asset funds. John has a long background at the intersection of finance and technology. Shortly after graduating from HBS, and as head of strategy for the New York Mercantile Exchange, he helped transition the floor to electronic trading and led the effort to develop the first Middle East energy derivatives exchange in partnership with the Dubai Government. This work, and John’s role, was chronicled as the subject of two NY Times best-selling books, Rigged by local Boston author Ben Mezrich, and The Start Up Of You by LinkedIn founder Reid Hoffman. John received a Master’s Degree in Business Administration from Harvard Business School and studied Politics, Philosophy and Economics at Oxford University. He lectures in Fintech at Instead, MIT and Columbia Universities. In 2019, John was named Chair of the United Kingdom’s US Asset Management Working Group by Her Majesty’s Government."
Farah,Elbahrawy,Bloomberg,EMEA Equities Reporter and Deputy Team Leader,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/farah-elbahrawy/'}",{},"Farah Elbahrawy is an equities reporter and deputy team leader at Bloomberg News in Dubai, covering stock markets from the Middle East, to Europe and the US"
Jack,Inglis,AIMA,Chief Executive Officer,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/jackinglis/'}",{},"Jack Inglis is the Chief Executive Officer of the Alternative Investment Management Association (AIMA*). He has been in the financial services industry and closely involved with hedge funds for over 30 years. Jack has held senior management positions at both Morgan Stanley, where he served for 16 years, and Barclays, where he was prior to joining AIMA. From 2007 to 2010 he was CEO of London based hedge fund manager, Ferox Capital Management. He served as a non-executive director of London Capital Group plc from 2007 to 2010 and currently sits on the board of the Chartered Alternative Investment Analyst Association (CAIA). He began his career in 1983 at UK stockbrokers James Capel (which was subsequently acquired by HSBC) and has extensive experience in origination, distribution, financing and trading across the fixed income and equity capital markets. Jack holds a Master of Arts in Economics from Cambridge University.  Jack is also Chair of the charity HFC Help for Children UK Affiliate Board and took up this role in January 2020.  *AIMA is a not-for-profit global trade association that represents the mutual interests of the alternative funds industry, including hedge funds and private debt funds. It has over 2,100 corporate members across more than 60 countries.   AIMA operates out of offices in London, New York, Hong Kong, Shanghai, Singapore, Sydney, Tokyo & Toronto."
Marissa,Kim,Abra Capital Management,General Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/marissakim/'}",{},"Marissa Kim is General Partner of Abra Capital Management (ACM), Abra’s asset management division. Through ACM, Abra’s clients can access actively managed, structured products and investment funds in addition to Abra’s best-in-class buying, trading, and borrowing services. Prior to Abra, Ms. Kim was a founder at Quantum Global Management, an investment firm focused on thematic investments in the Web3 space. She began working in the crypto investing space in 2017 and has been an early investor and advisor to many Web3 projects. She started her career as a lawyer in investment management at Skadden, Arps, Slate, Meagher, and Flom LLP, where she worked closely with BlackRock and many other big asset managers, and has also held senior roles at several consumer technology start-ups."
Terry,Culver,Digital Finance Group,Executive Director,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Terry is Executive Director at Digital Finance Group, a blockchain and virtual asset investment firm, established in 2015. He is also a Board Director and Senior Executive Officer of Matrix, the first licensed a virtual asset exchange and custodian based in Abu Dhabi Global Market. He has 20+ years of experience in emerging markets, technology, and enterprise development. Previously, he was a policy advisor for several countries in Asia, Africa, and Latin America working on economic development and technology programmes. He has served as Associate Dean at the Columbia University School of International and Public Affairs, a faculty member at New York University, and a Program Officer at the Harvard University Institute for International Development.He was the Founder and Chair of Digital Custody Trust Company, a licensed virtual asset custodian based in the United States. He has served as a Director of LedgerX, a CFTC-licensed virtual asset derivatives exchange, and as CEO of Ethereum Classic Labs, which helps manage Ethereum Classic, a public blockchain with a market cap of $3.1B. He is a former member of the Executive Committee of the Chamber of Digital Commerce. He is currently an Independent Director of First Seafront Fund Management, a fund manager with $6B AUM regulated by the China Securities Regulatory Commission.Mr. Culver holds an MBA from Columbia University School of Business, and graduate and undergraduate degrees from New York University."
Nikos,Latsos,LFO S.A.,Investment Director,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/nikos-latsos-907344/'}",{},"Nikos joined LFO as an Investment Director in 2021. Over the course of the past 11 years, Nikos provided holistic advice to clients across investments, credit and wealth structuring as a Senior Banker for key international clients at Credit Suisse and Julius Baer, and as the Head of the Multinational team at JP Morgan private bank in Geneva covering some of the bank’s largest and most sophisticated clients.Prior to 2011, Nikos worked at Alpheus (single family office) for six years, responsible for the hedge fund investments and trading on his proprietary quantitative futures strategy. Nikos was a Managing Director at IKOS SA from 2004 to 2007, the family office of a systematic hedge fund, in charge of the external hedge fund allocation. He spent the earlier years of his career as a hedge fund analyst at Merrill Lynch and Schroders, and as Head of Financial Engineering developing structured products on hedge fund portfolios at Man Group in London.Nikos holds an MBA and a first class Master's Degree in Mechanical Engineering, both from Imperial College, London. Nikos lives in picturesque Nyon (home of UEFA) enjoying the slopes in the winter and the lake in summer time. He makes a huge effort not to embarrass his three children when conversing in French."
Sophia,Shluger,Amber Group,"Managing Director, Europe","{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/sophia-shluger-ba505912/'}",{},"Sophia Shluger is the Managing Director for Amber Group in the UK, responsible for institutional expansion both in the UK and across EMEA. A financial services executive and global business development professional, she has 10+ years of track record and deal-making experience from Goldman Sachs, XP, Santander Investment Securities and American Express, among others. Before transitioning into digital assets, she worked in an investment advisory capacity within  FX, equities, equity derivatives and private debt, with a focus on Latin America and responsibility for building out new commercial relationships and investment businesses."
Matteo,Dante Perruccio,Wave Digital Assets,President International,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/company/wave-financial/'}",{},"Matteo has spent over 35 years in various strategic and leadership roles across the asset management industry, which includes being the CEO of Pioneer Investments SGR. Most recently, he was a non-executive director and Global Head of Key Clients & Strategic Partners at Jupiter Asset Management, a $58 billion FTSE asset manager based in the UK. Matteo also founded hedge fund Hermes BPK and has extensive experience in the family office space, having served as Chairman of Secofind Multi-family Office."
Sath,Ganesarajah,Lake Parime Limited,CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/sath-ganesarajah'}",{},"Since founding the company in 2019, Sath has created partnerships with some of the largest energy operators in the world and joined the largest trade body for renewables in the UK, RenewableUK. Lake Parime now has offices in the UK, US and Canada, and a world-class team managing deployments across the globe.With extensive experience in emerging markets – specialising in sovereign debt, state-owned corporate debt & central bank policy – he has held senior positions at a number of bulge-bracket investment banks including Citi Bank, Credit Swiss and Morgan Stanley, and managed over $5bn of capital.Sath has over 15-years’ experience in capital markets, and Bachelors degree in Management from London School of Economics."
Jeremy,Hill,Kidbrooke Environment Fund,Managing Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/jeremy-l-hill/'}",{},"Jeremy Hill is Managing Partner of Kidbrooke Environment Fund and responsible for investment decisions, raising capital, and management of the Fund. Jeremy brings significant experience as a financial professional, entrepreneur and lawyer. Most recently, Mr. Hill was a consultant for the Alternatives Division of AllianceBernstein, helping to market private funds and SMA strategies. Prior to that Mr. Hill was the Head of Markets at Levy, Harkins, a long-short equity hedge fund, which he joined after managing the Old Blackheath Companies family office. Mr. Hill co-founded TF Market Advisors, a macro and credit boutique, and prior to that he held a series of senior positions at Société Générale. Mr. Hill also worked at Coudert Brothers as an Associate in the firm's corporate department, and as an Analyst at BlueStone Capital Partners, a boutique investment bank. Mr. Hill consulted for Affinity Investment Advisors, and founded a telecommunications company earlier in his career. He holds a law degree from Fordham University.Jeremy has appeared on CNBC and Bloomberg TV numerous times and has been quoted in leading financial publications such as the Wall Street Journal and Forbes magazine."
Steve,Kurz,Galaxy Digital,Global Head of Asset Management,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/stevekurz/'}",{},"Steve Kurz is Partner and Head of Asset Management at Galaxy Digital. A member of Galaxy’s founding team, he launched and oversees its industry-leading asset management business. He also serves as a Term Member of the Council on Foreign Relations. Before joining the firm, he was a Co-Founder of Outer Realm VR, an enterprise focused immersive software company. Previously, he was a Principal and Head of Business Development at River Birch Capital, where he was responsible for raising over $1 billion in assets. Prior to that, he was a Vice President at Fortress Investment Group. He started his career in the Fixed Income Division of Lehman Brothers. He holds a B.A. in Economics from Cornell University."
Pascale,Wazen-Palpied,FactSet,"Vice President, Regional Director for MENA","{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Pascale Wazen-Palpied is Vice President, Regional Director for Middle East and Africa. In this role, Ms Wazen-Palpied primary responsibilities are to accelerate our growth rate in the MEA region and to attract, develop, and retain top talent. She joined FactSet in 2016. Prior to that she held different sales and management positions at Thomson Reuters in Paris, Beirut and Dubai. Ms Wazen-Palpied hold a Masters in Finance and has over 15 years of industry experience."
Tom,Kehoe,AIMA,"Managing Director, Global Head of Research and Communications","{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/thomaskehoe/'}",{},"Tom joined AIMA as research manager in October 2008 and heads up all research and communications globally for the association.  In this role, he leads on the association’s strategic thinking by devising, authoring and presenting original thought leadership on the alternative investment industry as well as designing, implementing and promoting the association’s communications and brand.In this capacity, he has authored over fifty research and through leadership pieces, which have been mentioned widely across the trade and business press as well as commented on radio and television. He has been involved with hedge funds for nearly 20 years. Prior to joining AIMA in October 2008, Tom spent four years working in hedge fund research and due diligence with BNP Paribas in New York and Dublin.Tom holds a Masters in Finance from the National College of Ireland, a graduate certificate in Investment Management from Dublin City University and is a Chartered Alternative Investment Analyst member (CAIA)."
James,Burron,Canadian Association of Alternative Strategies & Assets,Co-Founder & Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/jamesburron'}",{},"James co-founded CAASA in response to industry support for a Canadian alternatives association to serve all aspects including: hedge / alternative strategies; liquid alternatives; private lending; private real estate; private equity; plus emerging areas where Canada is a leader such as digital assets / blockchain and robo-advisors. Prior to CAASA, James was the Chief Operating Officer of AIMA Canada where his team of three worked with 12 committees to produce 50-60 events per annum across Canada, organized 100+ committee meetings, and increase member numbers over his 7-year tenue from 66 to 164 corporate entities. James currently sits on the Canadian Investment Funds Standards Committee (CIFSC), which categorizes mutual funds and alternative mutual funds (aka liquid alternatives) for the retail space in Canada. He is also called upon by membership and industry groups to speak to risk ratings and portfolio placement of all types of alternative investments. James also has experience in research and writing for the CAIA Association (holding the designation since 2006) as well as serving on CAIA’s exam council and as a well as other duties. He had roles in institutional sales and FoHF structuring in Seoul, South Korea, as a Product Manager at ICICI Wealth Management, and as an Investment Advisor at RBC Dominion Securities. James graduated from Simon Fraser University with a BBA (Finance)."
Andreas,Vogelsanger,Asia Frontier Capital,CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/andreas-vogelsanger/'}",{},"Andreas Vogelsanger is the CEO and Founder of the AFC Vietnam Fund, which invests in Vietnamese listed equities to capture value in growth companies; especially in the small to medium size company segment. Prior to launching the AFC Vietnam Fund, Andreas was a Founding Partner and Chairman of a small corporate finance boutique in Singapore and he worked for top-level investment banks, hedge funds and private banks in Zurich, Geneva, London, Hong Kong and Singapore.  He is passionate in finding the best value solutions for clients in tailoring an optimal investment proposition. Andreas was awarded an AMP diploma from Wharton Business School, University of Pennsylvania and he also holds CEFA (Certified European Financial Analyst and Portfolio Manager) and FRM (Financial Risk Manager) diplomas."
Vanessa,Grellet,Aglaé Ventures,Managing Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/vanessa-grellet-10852314/'}",{},"Vanessa Grellet is a Managing Partner at Aglaé Ventures. Vanessa is a Global Executive with over 20 years of expertise in the Financial Services and Tech industry. At Aglaé Ventures she manages the Web 3 focused fund. Prior to joining Aglae she has Head of Portfolio growth at CoinFund and Executive director at ConsenSys where she focused on driving adoption for Ethereum based products,  Strategic initiatives, Alliances and Channels.  She was involved in setting up the Enterprise Ethereum Alliance (EEA), the Accounting Blockchain Coalition (ABC) and the Blockchain for Social Impact Coalition (BSIC). Prior to ConsenSys she was a Strategy Executive at NYSE focused on investments and M&A and a key member of PwC’s global wealth management team. Vanessa is a Founding Board member of AABC focused on Blockchain and Art, Member of PleasrDao, a Milken Institute Associate, a contributor to the  World Economic Forum Digital Future Council and part of Cointelegraph’s list of 100 most influential people for 2022. Mrs. Grellet graduated Cum Laude from Law School (Paris II Assas) and Business School (HEC)."
Maral,Sivzattian,Abu Dhabi Catalyst Partners,Investment Director,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/maral-sivzattian-735b6a3b/'}",{},"Maral Sivzattian is an Investment Director at Abu Dhabi Catalyst Partners. Prior to joining Abu Dhabi Catalyst Partners Maral was Vice President at Samena Capital, focusing on private equity investments in emerging markets under the firm’s Special Situation Funds (AUM c.$700mn). Previously, Maral worked in M&A at Citigroup and at Barclays Capital in London, focusing on the industrials space in EMEA. Maral holds an M.B.A. from London Business School and a B.A. in Law and Business Studies from the University of Warwick, UK."
Lim Say,Cheong,Lootah Global Capital,Chief Executive Officer,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/say-cheong-lim-15349716'}",{},"Lim Say Cheong is the Chief Executive Officer of Lootah Global Capital (LGC), a financial services company established in the Dubai International Financial Centre (DIFC) and licensed and regulated by the Dubai Financial Services Authority (DFSA). He is responsible for the overall success of the company and for leading the development and execution of its long-term strategies with the goal of creating shareholder value. Lim spearheads all business development initiatives relating to advisory and arranging of credit as well as fundraising for venture and private equity companies.   He had previously worked for more than a decade in the UAE, first with Noor Bank as the Executive Director for Global Markets and then served as Executive Vice President and Group Head of Investment Banking with Al Hilal Bank where he led the development and growth of the Islamic Capital Market, Private Equity, Asset Management and Wealth Management divisions of the bank. He had also spearheaded  the Bank’s expansion into Kazakhstan. Lim was also a board member of the Al Hilal Takaful Investment Committee.   Prior to joining LGC, Lim was the Global Head of Nomura Islamic Asset Management based in Malaysia. He was responsible for developing and growing the Sharia-compliant assets under management for the Nomura Asset Management Group globally.   Lim holds an Executive MBA from INSEAD Europe, Advanced Diploma in Islamic Finance from CIMA UK and Bachelor of Science degree with double majors in Mathematics and Quantitative Economics from University of Sydney, Australia.   He had also attended Advanced High-Performance Leadership with IMD Business School and the Oxford Executive Leadership Programme with Said Business School, Oxford University.  A firm believer in a lifelong learning, he completed the Digital Transformation Strategy programme with Cambridge University and the Investment Philosophy course with Stern Business School, NYU."
William,"Tohmé, CFA",CFA Institute,Senior Regional Head - MENA,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/william-tohmé-cfa-45a2103'}",{},"William Tohmé, CFA, is Regional Head of Middle East and North Africa (MENA) at CFA Institute and is based in the new CFA Institute office in Abu Dhabi. In his role, William advocates for the highest standards of practice and ethics in the investment management industry through the promotion of financial market integrity and transparency among regional policy makers and regulators. William brings a wealth of experience in building a presence in new markets, deep local knowledge, and a strong entrepreneurial spirit to develop the CFA Institute hub in MENA. He partners with local MENA society leaders to assist with the expansion of their networks, contributing to the further professionalisation of the investment management industry in this flourishing region. Prior to joining CFA Institute, William was Director, Institutional Business Development at Lazard, where he developed the sovereign institutional client business in the Middle East, covering the Kingdom of Saudi Arabia, Kuwait, United Arab Emirates, Qatar, Oman, Egypt, Jordan and Bahrain. Prior to this role, he was Director, Middle Eastern Institutions, Alliance Bernstein Middle East.   William graduated with a Masters of Advanced Studies (D.E.A.) in Finance, Monetary Sciences and Banking from the Université Paris II in 2001 (Honours) and earned his CFA charter in 2009. William is fluent in English and a native speaker of French and Arabic."
Joseph,Zeng,Arcadia  Asia Fund,Founder & CIO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/joseph-zeng-5730a75/'}",{},"Trained in China’s central bank (PBOC), and earned the MSc. in Accounting & Finance agree from LSE. CEO of Greenwoods Asset Mgmt’s HK office (2008-2022), focusing on investments in pre-IPOs, IPOs, and PIPEs, and overall management of Greenwoods’ international business.  Greenwoods is one of the largest China managers specializing in managing equity investments into Chinese companies, based on deep fundamental research and due diligence. AUM is around $20bn Before joining Greenwoods, Mr. Zeng was an investment banker with JPMorgan covering the IPOs and M&As of China banks, insurers, and asset managers Prior to that, Mr. Zeng was an equity analyst covering Chinese banks at JP Morgan, where he was part of the #2 Asia financial research team in the poll of Institutional Investors ((II) Mr. Zeng was the Head of Syndicated Finance with Bank of China New York Branch (2001-2005), managing a multi-billion credit portfolio, and he was a senior analyst of credit risk management with the bank in New York (1999-2001) Vice Chairman, China Committee of HKVCA (The Hong Kong Venture Capital and Private Equity Association/香港创业及私募投资协会)"
